Customer ID,Name,Age,Gender,Annual Income (k$),Spending Score (1-100)
1,Customer_1,67.0,0,93.0,37.0
2,Customer_2,58.0,1,108.0,48.0
3,Customer_3,28.0,0,92.0,89.0
4,Customer_4,57.0,1,88.23529411764706,3.0
5,Customer_5,40.0,1,113.0,17.0
6,Customer_6,35.0,1,37.0,41.972972972972975
8,Customer_8,47.0,1,88.23529411764706,25.0
9,Customer_9,51.0,0,25.0,55.0
10,Customer_10,52.0,1,117.0,8.0
11,Customer_11,63.0,1,29.0,16.0
12,Customer_12,54.0,1,88.23529411764706,41.972972972972975
13,Customer_13,18.0,1,136.0,56.0
15,Customer_15,57.0,1,34.0,16.0
16,Customer_16,21.0,1,88.23529411764706,57.0
17,Customer_17,34.0,0,85.0,24.0
19,Customer_19,55.0,1,74.0,75.0
20,Customer_20,22.0,0,88.23529411764706,53.0
21,Customer_21,44.35897435897436,1,140.0,87.0
22,Customer_22,64.0,0,92.0,83.0
23,Customer_23,56.0,0,125.0,84.0
24,Customer_24,44.0,0,88.23529411764706,41.972972972972975
25,Customer_25,20.0,1,93.0,26.0
26,Customer_26,67.0,1,46.0,57.0
27,Customer_27,37.0,0,66.0,43.0
28,Customer_28,44.35897435897436,0,88.23529411764706,50.0
29,Customer_29,58.0,0,133.0,69.0
30,Customer_30,44.0,1,28.0,41.972972972972975
31,Customer_31,35.0,1,109.0,7.0
32,Customer_32,49.0,0,88.23529411764706,47.0
34,Customer_34,60.0,0,95.0,3.0
35,Customer_35,44.35897435897436,1,99.0,16.0
36,Customer_36,37.0,1,88.23529411764706,41.972972972972975
37,Customer_37,32.0,0,147.0,92.0
38,Customer_38,18.0,1,40.0,27.0
39,Customer_39,61.0,0,62.0,76.0
41,Customer_41,45.0,0,118.0,6.0
42,Customer_42,44.35897435897436,0,92.0,41.972972972972975
43,Customer_43,34.0,1,89.0,51.0
45,Customer_45,44.0,0,143.0,6.0
46,Customer_46,51.0,1,104.0,36.0
47,Customer_47,23.0,0,61.0,25.0
48,Customer_48,25.0,0,88.23529411764706,41.972972972972975
49,Customer_49,44.35897435897436,0,134.0,26.0
50,Customer_50,67.0,0,41.0,57.0
